user_id;transaction_date;transaction_amount
101346;2024-01-07;67.39
101154;2024-01-18;463.97
101011;2024-01-29;254.42
101448;2024-01-03;434.66
101151;2024-01-17;54.77
101236;2024-01-11;325.94
101187;2024-01-03;436.06
100719;2024-01-15;197.46
100903;2024-01-23;220.25
100833;2024-01-24;277.7
101337;2024-01-27;142.63
101241;2024-01-18;125.85
100931;2024-01-19;278.09
101327;2024-01-20;446.24
100822;2024-01-22;21.32
101133;2024-01-30;41.5
101005;2024-01-01;27.41
101273;2024-01-17;84.75
101194;2024-01-05;47.03
101437;2024-01-14;385.31
101169;2024-01-14;421.93
101000;2024-01-22;477.04
101332;2024-01-07;251.3
100563;2024-01-17;313.68
101293;2024-01-16;46.87
101348;2024-01-03;422.23
101371;2024-01-29;202.65
101018;2024-01-26;91.37
101136;2024-01-06;447.37
101042;2024-01-21;484.77
100561;2024-01-20;199.27
100648;2024-01-26;95.5
100919;2024-01-27;362.46
101398;2024-01-10;28.86
100647;2024-01-15;138.03
100850;2024-01-15;283.64
101411;2024-01-15;359.95
100527;2024-01-18;197.91
101265;2024-01-24;148.84
100807;2024-01-09;33.71
100958;2024-01-29;182.82
101070;2024-01-08;437.7
100713;2024-01-17;37.41
101163;2024-01-16;51.93
100854;2024-01-14;86.94
101345;2024-01-10;332.65
101180;2024-01-26;108.28
100635;2024-01-05;54.14
101063;2024-01-29;48.68
100977;2024-01-05;72.41
101232;2024-01-23;116.74
101280;2024-01-11;214.91
100917;2024-01-25;408.52
100725;2024-01-03;352.65
100523;2024-01-28;147.4
100675;2024-01-13;101.48
100676;2024-01-25;341.34
100744;2024-01-14;294.83
100762;2024-01-14;62.85
100855;2024-01-03;442.53
101277;2024-01-27;259.59
100780;2024-01-12;212.11
101408;2024-01-27;186.05
100693;2024-01-29;375.33
101493;2024-01-02;187.32
100802;2024-01-27;282.74
101336;2024-01-13;77.06
101199;2024-01-21;113.21
100745;2024-01-29;274.45
101230;2024-01-04;400.64
100557;2024-01-16;368.56
101350;2024-01-24;233.34
101084;2024-01-01;343.22
101305;2024-01-18;489.29
100615;2024-01-01;360.2
100717;2024-01-25;415.98
101091;2024-01-08;340.41
100538;2024-01-19;293.12
101378;2024-01-02;189.54
100564;2024-01-27;151.6
101478;2024-01-07;334.77
101393;2024-01-20;53.38
100683;2024-01-03;488.01
101433;2024-01-16;343.42
100698;2024-01-13;60.48
101144;2024-01-10;164.27
101202;2024-01-23;122.37
100640;2024-01-22;362.56
101106;2024-01-27;497.29
101044;2024-01-20;271.38
100902;2024-01-18;426.35
101430;2024-01-01;188.19
100654;2024-01-24;452.94
101109;2024-01-18;239.3
100743;2024-01-15;304.39
100591;2024-01-02;22.49
101463;2024-01-27;346.03
101394;2024-01-13;356.1
100572;2024-01-05;68.76
100934;2024-01-22;62.42
100828;2024-01-22;272.94
100706;2024-01-11;49.6
100834;2024-01-04;493.99
100982;2024-01-03;355.89
101066;2024-01-27;319.12
100605;2024-01-19;467.07
101119;2024-01-21;172.17
101052;2024-01-04;173.61
101150;2024-01-17;389.17
100748;2024-01-08;183.06
100812;2024-01-23;471.05
101190;2024-01-01;388.8
100598;2024-01-09;475.06
101298;2024-01-20;403.25
100536;2024-01-02;327.41
100674;2024-01-12;104.48
100631;2024-01-19;497.48
101250;2024-01-20;129.67
101400;2024-01-07;296.57
101095;2024-01-28;213.85
101282;2024-01-13;47.94
101479;2024-01-08;138.28
101174;2024-01-03;474.32
100820;2024-01-29;303.37
101318;2024-01-07;447.69
100696;2024-01-09;414.89
100510;2024-01-07;111.93
101206;2024-01-18;87.54
100571;2024-01-10;102.59
101228;2024-01-16;475.78
100514;2024-01-30;341.58
101379;2024-01-18;262.51
100600;2024-01-16;460.45
100841;2024-01-30;150.83
100638;2024-01-08;318.67
101019;2024-01-22;290.02
100875;2024-01-16;481.18
100879;2024-01-09;162.72
100813;2024-01-11;136.75
101262;2024-01-02;53.57
101086;2024-01-22;439.12
101159;2024-01-26;77.25
100747;2024-01-27;128.9
100503;2024-01-20;69.03
100975;2024-01-13;11.5
100946;2024-01-24;185.69
101387;2024-01-08;23.32
101426;2024-01-25;148.26
100788;2024-01-19;323.26
100570;2024-01-22;301.83
100652;2024-01-16;86.14
100989;2024-01-20;33.3
101390;2024-01-09;164.99
100872;2024-01-07;460.06
100969;2024-01-22;441.07
101326;2024-01-21;132.69
100542;2024-01-10;407.36
101100;2024-01-16;138.27
100517;2024-01-22;349.48
100842;2024-01-13;35.62
101289;2024-01-30;285.19
100998;2024-01-08;189.2
100896;2024-01-25;329.11
101165;2024-01-03;424.39
100678;2024-01-23;467.02
100730;2024-01-23;355.72
100764;2024-01-13;338.03
101243;2024-01-28;468.29
100988;2024-01-24;355.58
100520;2024-01-24;417.43
100760;2024-01-29;82.0
101239;2024-01-18;41.79
101353;2024-01-29;139.67
100849;2024-01-30;149.08
101200;2024-01-16;120.59
101157;2024-01-29;293.7
101220;2024-01-06;461.53
101320;2024-01-18;317.26
100995;2024-01-30;227.69
100937;2024-01-30;40.44
100703;2024-01-07;298.76
100546;2024-01-29;431.83
101233;2024-01-17;265.38
101405;2024-01-21;354.68
101139;2024-01-04;70.16
100916;2024-01-10;88.68
100607;2024-01-07;10.84
100627;2024-01-15;248.19
100664;2024-01-01;192.64
101122;2024-01-18;405.25
100530;2024-01-24;82.62
101129;2024-01-26;176.01
100897;2024-01-15;383.62
101026;2024-01-11;244.35
101148;2024-01-06;99.06
101344;2024-01-02;396.76
101197;2024-01-20;312.47
101456;2024-01-22;53.56
101110;2024-01-04;149.35
100970;2024-01-08;266.03
101013;2024-01-06;99.47
100620;2024-01-19;454.16
101004;2024-01-26;408.05
100709;2024-01-09;296.6
100513;2024-01-18;123.05
100541;2024-01-03;359.8
100763;2024-01-22;401.55
101287;2024-01-02;395.23
101291;2024-01-17;403.1
100661;2024-01-09;12.18
100869;2024-01-15;222.59
101002;2024-01-12;163.4
101006;2024-01-04;37.29
100633;2024-01-17;276.46
101009;2024-01-25;50.09
101325;2024-01-02;33.93
101034;2024-01-08;322.54
101092;2024-01-11;247.18
100758;2024-01-21;61.91
100553;2024-01-04;135.8
101214;2024-01-13;488.86
100726;2024-01-06;440.11
101421;2024-01-17;276.57
100963;2024-01-07;187.94
101022;2024-01-17;58.53
100704;2024-01-03;17.84
100608;2024-01-23;162.59
100657;2024-01-06;395.94
101252;2024-01-16;100.57
100632;2024-01-14;213.04
101134;2024-01-10;382.78
101156;2024-01-23;461.43
101451;2024-01-05;258.35
101412;2024-01-05;418.66
101304;2024-01-18;233.12
101176;2024-01-06;438.83
101033;2024-01-13;411.01
101375;2024-01-04;383.48
101234;2024-01-17;124.95
100981;2024-01-07;345.34
100723;2024-01-29;399.61
100738;2024-01-20;122.86
101368;2024-01-27;154.61
101050;2024-01-08;325.91
101376;2024-01-18;78.32
100547;2024-01-15;235.85
100877;2024-01-23;381.22
101102;2024-01-18;420.6
100839;2024-01-18;246.62
101323;2024-01-11;422.32
100721;2024-01-05;469.32
101328;2024-01-01;188.17
101058;2024-01-05;193.76
101075;2024-01-21;389.05
101358;2024-01-25;134.34
100512;2024-01-16;427.11
101361;2024-01-26;343.88
101283;2024-01-16;74.58
101178;2024-01-18;336.55
100978;2024-01-28;108.86
101321;2024-01-23;87.09
101107;2024-01-30;425.34
101141;2024-01-13;475.92
100588;2024-01-01;309.06
101057;2024-01-24;416.74
101356;2024-01-12;244.71
100964;2024-01-22;487.8
100628;2024-01-28;300.85
100883;2024-01-08;161.19
101474;2024-01-30;338.54
100724;2024-01-21;127.35
100888;2024-01-29;390.58
101186;2024-01-12;440.88
100574;2024-01-08;210.24
100777;2024-01-22;484.03
101286;2024-01-20;438.19
101416;2024-01-20;271.79
100907;2024-01-30;438.8
100555;2024-01-15;229.78
101372;2024-01-26;498.78
100939;2024-01-23;385.2
100810;2024-01-01;318.44
100827;2024-01-30;373.28
101173;2024-01-08;366.24
100906;2024-01-03;278.82
100521;2024-01-12;429.49
100613;2024-01-21;442.31
101429;2024-01-21;498.19
101330;2024-01-17;396.81
101334;2024-01-19;288.32
100623;2024-01-19;188.22
100528;2024-01-15;467.86
100819;2024-01-06;237.7
101446;2024-01-11;166.04
100945;2024-01-29;263.14
101056;2024-01-01;133.18
100586;2024-01-23;46.82
100759;2024-01-11;418.86
100856;2024-01-10;254.32
101078;2024-01-15;315.0
100940;2024-01-06;35.56
100984;2024-01-21;281.89
100584;2024-01-27;114.65
101281;2024-01-06;18.63
101225;2024-01-22;477.54
101295;2024-01-21;408.86
100858;2024-01-08;126.4
101278;2024-01-29;197.0
101039;2024-01-21;143.09
101132;2024-01-03;483.03
101403;2024-01-06;185.82
101288;2024-01-01;428.97
101014;2024-01-16;208.13
100645;2024-01-07;498.5
101470;2024-01-04;426.36
101061;2024-01-19;71.57
100867;2024-01-03;142.81
100629;2024-01-09;336.79
101015;2024-01-27;105.85
100824;2024-01-14;105.21
100873;2024-01-29;394.38
100928;2024-01-06;293.79
100617;2024-01-19;139.97
100771;2024-01-13;348.64
101083;2024-01-08;183.71
101492;2024-01-21;447.21
100973;2024-01-16;410.73
100870;2024-01-08;352.86
101041;2024-01-04;171.77
100567;2024-01-30;137.49
100904;2024-01-01;197.78
100757;2024-01-18;163.31
100753;2024-01-19;306.21
101162;2024-01-15;26.76
101127;2024-01-15;424.85
101055;2024-01-11;364.39
100806;2024-01-11;478.71
101116;2024-01-11;398.34
100609;2024-01-13;34.33
101319;2024-01-12;132.28
100799;2024-01-07;433.52
100956;2024-01-10;397.42
101370;2024-01-12;90.69
101418;2024-01-10;236.37
101170;2024-01-10;429.93
101343;2024-01-20;351.68
101491;2024-01-29;498.75
101125;2024-01-27;449.54
100569;2024-01-30;306.15
100791;2024-01-24;429.2
100783;2024-01-27;275.61
101082;2024-01-25;231.67
100697;2024-01-17;147.69
100534;2024-01-06;487.25
101249;2024-01-01;19.55
101367;2024-01-01;347.15
100911;2024-01-02;461.87
101121;2024-01-19;49.49
101012;2024-01-19;263.58
100742;2024-01-24;266.95
101213;2024-01-27;65.07
100518;2024-01-25;296.52
100651;2024-01-15;58.76
101382;2024-01-23;23.58
101409;2024-01-27;203.42
100667;2024-01-05;257.23
100966;2024-01-06;39.65
100641;2024-01-29;134.63
100952;2024-01-10;191.32
101087;2024-01-16;282.8
101138;2024-01-29;435.02
101317;2024-01-05;419.82
101054;2024-01-16;265.16
101271;2024-01-25;461.39
101135;2024-01-03;369.08
100972;2024-01-25;266.26
100507;2024-01-06;15.86
101458;2024-01-11;290.31
100905;2024-01-21;301.14
100692;2024-01-27;332.3
100663;2024-01-18;282.99
101242;2024-01-14;336.27
101402;2024-01-19;310.75
101459;2024-01-04;78.95
100922;2024-01-03;297.41
101428;2024-01-26;243.17
101410;2024-01-05;14.92
101461;2024-01-11;443.83
101196;2024-01-25;406.72
101469;2024-01-12;390.39
